                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4618,                 3.0413,                 1.3212,                0.00322,                0.86458,                0.42408,                0.21718,                 1.4345,                 3.5177,                 1.1646,                0.00042,                0.00042,                0.00042
                      2,                 1.4823,                 2.0408,                 1.2742,                0.83639,                0.05342,                0.39063,                0.18662,                 1.6564,                 3.4273,                 1.3028,             0.00084297,             0.00084297,             0.00084297
                      3,                  1.438,                 1.8319,                 1.2483,                0.51997,                0.23958,                 0.2392,                0.12067,                 1.6846,                 3.0527,                 1.3171,              0.0012485,              0.0012485,              0.0012485
                      4,                 1.4949,                 1.7695,                 1.2902,                 0.4577,                   0.25,                0.22916,                 0.0837,                 1.8488,                  3.143,                 1.5857,              0.0016366,              0.0016366,              0.0016366
                      5,                 1.5162,                 1.5927,                 1.3278,                  0.171,                  0.375,                0.15519,                0.07012,                  1.697,                 3.7074,                 1.3936,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.4582,                  1.507,                 1.2821,                 0.8697,                0.70833,                 0.8278,                0.40069,                 1.6454,                 1.4458,                 1.4024,               0.001802,               0.001802,               0.001802
                      7,                 1.4667,                 1.4137,                 1.2812,                0.84549,                0.60417,                0.74598,                0.35976,                 1.7262,                 1.5771,                 1.4126,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.4604,                  1.296,                 1.2551,                0.80523,                0.79167,                0.81984,                0.37889,                 1.7559,                 1.3287,                 1.3547,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.4261,                 1.2378,                 1.2602,                0.79558,                0.77026,                0.81267,                0.40778,                 1.6443,                 1.4684,                 1.3596,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.4103,                 1.2075,                 1.2256,                0.86718,                0.76042,                 0.8276,                0.39419,                 1.7159,                   1.48,                 1.3815,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.4041,                 1.1719,                 1.2483,                0.91224,                0.82292,                0.88046,                0.45572,                 1.5758,                 1.1257,                 1.3341,               0.001604,               0.001604,               0.001604
                     12,                 1.4066,                 1.0735,                 1.2392,                0.79997,                0.83316,                0.78444,                0.37847,                 1.7094,                 1.1967,                 1.3133,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.3693,                 1.0593,                  1.243,                0.87827,                0.82672,                0.86718,                0.43531,                 1.6309,                 1.0436,                 1.3348,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.3096,                0.98674,                 1.2083,                0.86563,                0.80208,                0.83554,                 0.4287,                  1.584,                0.99186,                 1.2809,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.3703,                0.97175,                 1.2222,                0.84997,                0.78125,                0.83707,                 0.4017,                 1.7522,                 0.9728,                 1.3066,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.3806,                0.95227,                 1.2124,                0.89361,                0.80208,                0.84749,                0.38776,                 1.7767,                 1.0015,                 1.3194,               0.001406,               0.001406,               0.001406
                     17,                  1.358,                0.94006,                  1.231,                0.93808,                0.78904,                0.86186,                0.40521,                 1.7323,                0.93028,                 1.3126,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.3219,                0.93471,                 1.1875,                0.87267,                0.84375,                0.88191,                0.43077,                 1.6182,                0.93409,                 1.2839,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.2882,                0.89143,                 1.1748,                0.92759,                 0.8007,                0.88472,                0.45997,                 1.6334,                0.89386,                 1.2433,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.2472,                0.86841,                 1.1582,                0.89759,                0.76042,                 0.8416,                0.43821,                 1.6905,                0.86526,                  1.265,              0.0012476,              0.0012476,              0.0012476
                     21,                  1.303,                0.83297,                 1.1857,                0.91074,                0.78125,                 0.8459,                0.42906,                  1.685,                0.97565,                 1.2674,               0.001208,               0.001208,               0.001208
                     22,                 1.2884,                0.88651,                 1.1907,                0.90858,                0.84375,                0.90831,                0.48875,                 1.5633,                0.86772,                 1.2701,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.3016,                0.83309,                   1.19,                 0.9621,                0.79336,                0.89649,                0.46483,                 1.6019,                0.89886,                 1.2758,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.2504,                0.82463,                 1.1707,                0.94148,                0.85417,                0.91723,                0.48982,                 1.4962,                0.79665,                 1.2334,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.3062,                0.81512,                 1.1912,                0.89594,                0.89583,                0.92323,                0.47398,                 1.5305,                0.84767,                 1.2577,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.2771,                0.83106,                 1.1908,                0.87133,                0.82292,                0.88648,                0.47028,                 1.5624,                0.89691,                 1.2366,                0.00101,                0.00101,                0.00101
                     27,                 1.2657,                0.81703,                 1.1828,                0.89126,                0.86458,                0.89619,                0.46586,                  1.525,                 0.9194,                  1.231,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.2468,                0.78739,                 1.1534,                0.83974,                0.86458,                0.85481,                0.43716,                 1.6714,                0.85487,                 1.2816,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.2547,                0.81304,                 1.1625,                0.91717,                0.76042,                0.85551,                0.44943,                 1.5593,                0.93731,                 1.2562,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.1826,                0.76219,                 1.1016,                0.87349,                0.86309,                0.88204,                0.47296,                  1.499,                0.87025,                 1.2532,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.1597,                0.73033,                 1.1143,                0.91694,                 0.8125,                0.89234,                0.50163,                 1.5097,                  0.856,                 1.2388,               0.000812,               0.000812,               0.000812
                     32,                 1.1556,                0.73442,                 1.1363,                0.92846,                0.85417,                0.91283,                0.47349,                 1.5866,                0.80189,                 1.2438,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.1678,                0.72514,                 1.1187,                0.87955,                0.86458,                 0.8994,                0.50237,                 1.4753,                0.81546,                 1.2228,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.1681,                0.74225,                 1.1229,                0.95417,                 0.8675,                0.92044,                0.48871,                 1.5254,                0.78042,                 1.2493,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.1896,                0.70496,                 1.1383,                0.95675,                  0.875,                0.93518,                0.50107,                 1.5119,                0.75353,                 1.2201,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.1612,                0.67164,                 1.0962,                0.95591,                0.90341,                0.91116,                 0.5041,                 1.4531,                0.79022,                 1.2294,               0.000614,               0.000614,               0.000614
                     37,                  1.155,                0.67933,                 1.1267,                0.92341,                0.89583,                0.90333,                0.47444,                 1.5896,                0.81282,                 1.2449,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.1727,                0.65541,                 1.1266,                0.93503,                0.89945,                0.92762,                0.47609,                 1.5865,                 0.7635,                 1.2455,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.1503,                0.63535,                 1.1034,                0.94418,                0.86458,                0.91592,                0.49006,                  1.531,                0.74487,                 1.2449,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.1204,                0.65218,                 1.1114,                0.92483,                0.90625,                 0.9173,                0.51768,                 1.5119,                 0.7216,                 1.2203,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.0995,                0.63771,                 1.0917,                0.92243,                0.88542,                0.92222,                0.51057,                 1.5149,                0.73834,                 1.2275,               0.000416,               0.000416,               0.000416
                     42,                 1.0627,                0.61499,                 1.0942,                0.95504,                 0.8851,                0.93529,                0.52341,                 1.4981,                0.72644,                 1.2383,              0.0003764,              0.0003764,              0.0003764
                     43,                  1.084,                0.59993,                 1.0912,                0.91463,                0.89284,                0.89722,                0.49665,                 1.5443,                0.78177,                 1.2628,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.0508,                0.59438,                 1.0717,                0.91336,                0.86458,                  0.901,                0.51509,                 1.4898,                0.75347,                  1.247,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.0241,                0.57947,                  1.068,                0.90351,                0.87786,                0.89881,                0.51734,                 1.5025,                0.74021,                  1.239,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.0062,                0.56402,                 1.0557,                0.90935,                0.88542,                0.89448,                0.51204,                 1.5216,                 0.7431,                 1.2519,               0.000218,               0.000218,               0.000218
                     47,                  1.023,                0.56835,                 1.0616,                0.87161,                0.89583,                 0.8914,                0.51368,                 1.5427,                0.73102,                 1.2541,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.0202,                0.55374,                 1.0641,                0.89678,                0.90625,                0.92079,                0.52436,                 1.5445,                 0.7465,                 1.2449,              0.0001388,              0.0001388,              0.0001388
                     49,                0.97878,                0.54799,                 1.0304,                0.91551,                0.90296,                0.91558,                 0.5154,                 1.5369,                  0.735,                 1.2394,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.98211,                0.54022,                 1.0403,                0.91243,                0.91667,                0.92302,                0.52508,                 1.5227,                0.72848,                   1.23,               5.96e-05,               5.96e-05,               5.96e-05
                      1,                 1.5573,                 2.5919,                 1.3201,                0.90647,                0.40387,                0.70369,                0.30878,                 1.6701,                 2.6204,                 1.2382,               0.000659,               0.000659,               0.000659
                      2,                 1.5456,                 1.8625,                 1.2831,                0.78695,                0.65411,                0.70746,                0.32782,                  1.795,                 1.8877,                 1.4998,              0.0012994,              0.0012994,              0.0012994
                      3,                 1.5991,                 1.8409,                 1.4238,                0.71606,                0.73958,                0.73212,                0.32498,                 1.7567,                 1.8528,                 1.3866,              0.0019134,              0.0019134,              0.0019134
                      4,                  1.542,                 1.6447,                 1.3338,                0.72512,                0.63204,                0.64725,                0.31455,                 1.7135,                  1.694,                 1.4155,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.5429,                 1.5101,                 1.3176,                0.90278,                0.77385,                0.84405,                0.36685,                 1.6931,                 1.3729,                 1.3956,              0.0018416,              0.0018416,              0.0018416
                      6,                  1.551,                 1.5006,                 1.3654,                0.84567,                0.79913,                0.85796,                0.35586,                 1.7849,                 1.3949,                 1.4239,               0.001802,               0.001802,               0.001802
                      7,                 1.5283,                 1.3732,                 1.2984,                0.86344,                0.79034,                0.83827,                0.38624,                 1.6343,                 1.2633,                 1.3015,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.5104,                 1.3179,                 1.3088,                0.70696,                0.77906,                0.63624,                 0.3074,                 1.6571,                 1.4121,                 1.3224,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.4461,                 1.3097,                 1.2744,                0.86442,                 0.8125,                0.84212,                0.39626,                 1.6628,                 1.2363,                 1.3188,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.4131,                  1.113,                 1.2544,                0.85307,                0.84673,                0.88541,                 0.4316,                 1.6786,                 1.0277,                 1.3367,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.4983,                 1.1987,                 1.2886,                0.81925,                0.75542,                0.82963,                    0.4,                 1.6709,                 1.0743,                 1.3341,               0.001604,               0.001604,               0.001604
                     12,                 1.4645,                 1.1237,                 1.2865,                0.76536,                0.84375,                0.87002,                0.39578,                 1.7316,                 1.0986,                 1.2969,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.4356,                 1.0979,                 1.2539,                0.74588,                0.82553,                0.75475,                0.34496,                 1.6758,                 1.1336,                 1.3181,              0.0015248,              0.0015248,              0.0015248
                     14,                  1.429,                 1.0602,                  1.272,                0.91431,                0.73958,                0.86441,                0.41381,                 1.6439,                 1.1169,                 1.3061,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.4375,                 1.0829,                 1.2615,                0.78559,                0.80148,                0.80917,                 0.4016,                 1.6251,                 1.0936,                 1.2821,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.3803,                 1.0348,                 1.2449,                0.77772,                0.80183,                0.77764,                0.36646,                  1.731,                  1.053,                 1.2904,               0.001406,               0.001406,               0.001406
                     17,                 1.3628,                0.96974,                 1.2073,                0.82198,                0.81769,                0.83828,                0.44003,                 1.6559,                0.99285,                 1.3544,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.3688,                0.92815,                 1.2355,                0.84151,                0.82964,                0.81171,                0.39798,                  1.703,                0.99271,                 1.2974,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.3773,                0.94081,                 1.2127,                0.81825,                0.80208,                0.77703,                0.33678,                 1.8216,                 1.0829,                 1.3165,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.4076,                0.95603,                 1.2183,                0.86585,                0.80685,                 0.8545,                0.44914,                  1.551,                0.97021,                 1.2342,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.3416,                0.94466,                 1.2041,                0.92423,                 0.8125,                0.87382,                0.47491,                 1.6037,                0.91716,                 1.2585,               0.001208,               0.001208,               0.001208
                     22,                 1.3622,                0.89412,                 1.2024,                0.92808,                0.83333,                0.89285,                0.47897,                 1.5206,                0.89255,                 1.2509,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.4271,                0.91867,                 1.2066,                0.87731,                0.79167,                0.85951,                0.45166,                 1.5975,                0.94664,                 1.2757,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.3651,                0.90164,                 1.1955,                0.90202,                0.85417,                0.89412,                0.41868,                 1.7129,                 0.9213,                 1.3317,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.3491,                0.87621,                 1.2046,                0.86154,                0.84264,                0.86696,                0.46701,                   1.53,                0.86481,                 1.2521,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.3143,                0.81999,                 1.1607,                0.87836,                0.82746,                0.82607,                0.43062,                 1.5108,                0.96212,                  1.206,                0.00101,                0.00101,                0.00101
                     27,                 1.2993,                 0.8325,                 1.1624,                0.84638,                0.86092,                0.82316,                0.42035,                 1.5997,                0.96185,                 1.2137,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.2821,                0.83627,                 1.1686,                0.82722,                0.84785,                 0.8031,                0.42794,                 1.5614,                0.97782,                 1.2271,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.2884,                0.84297,                 1.1801,                0.80397,                  0.875,                0.81535,                0.41503,                 1.5749,                 1.0373,                 1.2376,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.2652,                0.82346,                 1.1758,                0.87015,                0.82292,                 0.8654,                0.41712,                  1.608,                0.92827,                 1.2407,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.2894,                0.81484,                 1.1827,                0.88404,                0.82292,                0.88189,                0.45505,                 1.5652,                0.87412,                 1.2453,               0.000812,               0.000812,               0.000812
                     32,                 1.2785,                 0.7674,                 1.1731,                0.86613,                0.83333,                0.83719,                0.40939,                 1.6185,                0.90469,                 1.2506,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.2533,                0.77811,                 1.1549,                0.89005,                0.84324,                0.89609,                0.49186,                 1.5176,                0.83722,                  1.246,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.2446,                0.74526,                 1.1279,                0.87319,                0.84375,                 0.8673,                0.44562,                 1.6214,                0.85772,                 1.2526,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.2185,                0.76559,                 1.1502,                0.82902,                  0.875,                0.89403,                0.45919,                 1.5723,                0.87542,                 1.2368,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.2413,                0.75165,                 1.1524,                0.80042,                0.83553,                0.76412,                0.39433,                 1.6214,                0.91148,                 1.2223,               0.000614,               0.000614,               0.000614
